base_split,ticker,horizon,n,qlike,mse,mae,mean_residual
test,ADI,1,251,0.2590061409409538,0.11684637067994441,0.26489035807241273,-0.030415185314326857
test,ADI,5,247,0.23812953718885824,0.11059786922842461,0.26290919430591836,-0.05268487866780146
test,ADI,10,242,0.2562733007723481,0.12346594211545737,0.27175822588149945,-0.07112249399079974
test,ADI,22,230,0.248965207905629,0.12734133258381763,0.27548182007447036,-0.11119210848350465
test,AMAT,1,251,0.2630491140862468,0.12192268989366989,0.28171714235226847,-0.03340947952891547
test,AMAT,5,247,0.24958275594527546,0.12245051407248718,0.28183290166761893,-0.0564576830433438
test,AMAT,10,242,0.24440183569091792,0.12653990162293138,0.2875172439970598,-0.07476258972262641
test,AMAT,22,230,0.23527421108348442,0.1309370660941219,0.2944640016065238,-0.1111210553178169
test,AMD,1,251,0.23719926299765834,0.09934335966558823,0.25193605922049334,-0.01712770338835187
test,AMD,5,247,0.2981102064591554,0.12008195057743093,0.27392618762548454,-0.02702709925065786
test,AMD,10,242,0.29506513005477,0.12679259402355134,0.2855739525946021,-0.0349425931985195
test,AMD,22,230,0.26554932458709724,0.12198920137126097,0.28008033247102954,-0.05640677788457012
test,AVGO,1,251,0.35427660022381136,0.13151559345699593,0.2873590345293281,-0.018058991065490346
test,AVGO,5,247,0.5310095242278516,0.15236952946842341,0.3053539994873672,-0.02396044968706121
test,AVGO,10,242,0.6076804559488374,0.16490554156498655,0.3109439927036655,-0.027980468793258988
test,AVGO,22,230,0.5500617400478226,0.1589110571076725,0.30849932036325317,-0.03852930900450996
test,INTC,1,251,0.28778019429071694,0.12219706145108765,0.27433919227547104,0.0276972119309808
test,INTC,5,247,0.40617120411426183,0.15078195782477477,0.30521730051681395,0.05719824614263706
test,INTC,10,242,0.45141511669843215,0.15741869108816928,0.3061586829498797,0.07818886838955862
test,INTC,22,230,0.40642156089645376,0.14585204678342653,0.2940858442735175,0.08224307196323112
test,KLAC,1,251,0.27580729779863655,0.12526206117580016,0.28413910750297844,-0.028851174556580168
test,KLAC,5,247,0.27306711272429307,0.13316551624154857,0.28950725033350844,-0.050306498554510345
test,KLAC,10,242,0.2735699830309526,0.13769737515997085,0.29243305142529635,-0.0699434892144935
test,KLAC,22,230,0.26572921454323895,0.14025270832530715,0.2988404834456933,-0.10542290192937755
test,LRCX,1,251,0.2274334445355523,0.10950489271174514,0.2588790950233623,-0.03428884791917667
test,LRCX,5,247,0.234679214623386,0.11388224524314611,0.2731757346173586,-0.05865273428427201
test,LRCX,10,242,0.21456677463469154,0.11497376022318746,0.27465937687785436,-0.08295553756589417
test,LRCX,22,230,0.21356257809044413,0.12394396582768767,0.29042012779064535,-0.1307577176648498
test,MU,1,251,0.24365343772076545,0.12135110434289241,0.28005488784757854,-0.04085948767912854
test,MU,5,247,0.237519319085995,0.12657215127785,0.28205878572299525,-0.06176510181708482
test,MU,10,242,0.2569539306274277,0.14090746464563858,0.29951779456984945,-0.0881404131256884
test,MU,22,230,0.24997891485913384,0.14706746485361602,0.30670099915896765,-0.12656590349804514
test,NVDA,1,251,0.22581550824056923,0.09716914543450358,0.2487011871730691,-0.023006499629081866
test,NVDA,5,247,0.250838610846833,0.11472023493487235,0.26870160307979324,-0.04253079236193553
test,NVDA,10,242,0.2727048586230384,0.12819228696229132,0.2844689517245966,-0.05887738183591943
test,NVDA,22,230,0.2557858974095779,0.13017685803482587,0.2903871842504316,-0.10145684487190484
test,QCOM,1,251,0.21840204164738655,0.10635035069643775,0.2630384518003047,-0.045761238620884874
test,QCOM,5,247,0.2374929474495853,0.12034736126622457,0.273536427068014,-0.06924595785194884
test,QCOM,10,242,0.2334296829139736,0.12679765601117327,0.2760117419149975,-0.09542607286378005
test,QCOM,22,230,0.22059637424661704,0.13639047438779894,0.2872236685078036,-0.14947326968359392
test,TXN,1,251,0.21802222301944676,0.10472843424698537,0.26121577119431033,-0.023039777012180906
test,TXN,5,247,0.22413723171796682,0.10950424190852931,0.26289283573977784,-0.03783077417255594
test,TXN,10,242,0.21580688420707675,0.10847116526450169,0.2592366490267544,-0.059117841464438214
test,TXN,22,230,0.18534452219961428,0.10631029889249406,0.25578593591143295,-0.09514029249468006
train,ADI,1,44,0.3071923335100448,0.11917085628829306,0.265535855928972,-0.004961293991564419
train,ADI,5,44,0.328479368453281,0.13482666067140248,0.27688563411241707,-0.030772021259562507
train,ADI,10,44,0.36586235932771716,0.13791527728408765,0.2965204622088266,0.020856482952735456
train,ADI,22,44,0.3955065460007212,0.14049454333350153,0.30164706008257514,0.18242074939575573
train,AMAT,1,44,0.25474121194613586,0.11711660398841234,0.26567068988587167,0.0419268099755073
train,AMAT,5,44,0.31722303981327404,0.13517926855222973,0.294407827847712,0.08072611463305508
train,AMAT,10,44,0.3826798396257336,0.14497995585252385,0.3143951957334536,0.12850795226352124
train,AMAT,22,44,0.9355173273808255,0.2629994082349269,0.41825567895500115,0.3874950508429232
train,AMD,1,44,0.4108286169119904,0.18412299122851514,0.3571408083614349,-0.042776374512410224
train,AMD,5,44,0.3561874115299495,0.17893009453034436,0.3411023292258571,-0.08295803184420532
train,AMD,10,44,0.3070483135058614,0.17216145563586366,0.32439963548689194,-0.09283921162645091
train,AMD,22,44,0.3597652716413901,0.14114286347981342,0.3023460937829316,0.011115763615403057
train,AVGO,1,44,0.35417263265366095,0.14489011940751215,0.30082594442727467,-0.009893299293294733
train,AVGO,5,44,0.3357970040868326,0.1451021257370209,0.2917516099710504,-0.0559109543557115
train,AVGO,10,44,0.26648863965575836,0.14058095734852386,0.28684727336172955,-0.06498850138419406
train,AVGO,22,44,0.4561864467806989,0.1534920635387567,0.30894593035802786,0.10967400496322469
train,INTC,1,44,0.9443127347048546,0.24035725676288197,0.3598163428232201,0.044261659615996214
train,INTC,5,44,0.8988530337761638,0.23715354891871263,0.3739828299155418,0.10524229368020914
train,INTC,10,44,0.9175382084270335,0.22316827555859312,0.35074051468059886,0.1392980114299104
train,INTC,22,44,0.9237922289755541,0.23838419768214722,0.3962664316590361,0.28758490500318407
train,KLAC,1,44,0.34200599004998117,0.11241776913370716,0.25705252694678865,0.05241807089928889
train,KLAC,5,44,0.3435226904488633,0.1203755578985322,0.2833937991940812,0.09424954334895963
train,KLAC,10,44,0.468696889010115,0.16120292248433324,0.33760094236710164,0.1544073569737284
train,KLAC,22,44,0.7692021993818191,0.2250249655679337,0.4010863093863268,0.3773411744237183
train,LRCX,1,44,0.2603409494863771,0.10636203509559895,0.2556834774385021,0.01830456260698214
train,LRCX,5,44,0.41239843567120094,0.1638062265909257,0.32724801197361686,0.030575922943679078
train,LRCX,10,44,0.45522373539407535,0.17828896931708293,0.33144874481044495,0.11436674008201435
train,LRCX,22,44,0.8581045377753828,0.2409971377279832,0.40432363135858923,0.3424381179451591
train,MU,1,44,0.333074690219811,0.13235457535470674,0.2809151361599648,-0.00826846633297752
train,MU,5,44,0.43937150326886615,0.16986083750173797,0.32006943678609373,-0.02981357260940359
train,MU,10,44,0.44049926537726286,0.1621956244855352,0.3015339952569725,0.00404067504409077
train,MU,22,44,0.647217978055443,0.19311818779679796,0.3399986228180437,0.18636965688296347
train,NVDA,1,44,0.35327962509191946,0.14497401918482453,0.29069029269583724,-0.02043292088386721
train,NVDA,5,44,0.27975847923899866,0.11908644103734609,0.26452482472278177,-0.029158214125589953
train,NVDA,10,44,0.24523114864816858,0.11064178631596425,0.26555141037027036,-0.015346563438501088
train,NVDA,22,44,0.6422503021277053,0.1884535490693245,0.3200883675306731,0.14072737736178356
train,QCOM,1,44,0.40446842364813196,0.14732591618735438,0.30352485669888235,0.016460909236632813
train,QCOM,5,44,0.3852155704177955,0.16854469991312104,0.3361450668599066,-0.04491918182245396
train,QCOM,10,44,0.40114356119947714,0.19178379214549562,0.3581979077587024,-0.04061389825719832
train,QCOM,22,44,0.38710889692119876,0.14778521199944677,0.313438612556813,0.08330309984848762
train,TXN,1,44,0.4248943218609581,0.14791909725851496,0.2950909409762322,0.026752518620997277
train,TXN,5,44,0.6011662223418649,0.19442435057984978,0.3394964851425024,0.004014725974328079
train,TXN,10,44,0.43874316173653055,0.18359634572798839,0.3418914778013835,0.003174689888770475
train,TXN,22,44,0.45927908373021614,0.15632741508115464,0.32515218734206813,0.18142328292576215
validation,ADI,1,504,0.2668810930732385,0.11152630694766619,0.26392577591877986,0.013293485892132669
validation,ADI,5,504,0.33472225667615957,0.13610456596883713,0.2910688802791949,0.02331014085301341
validation,ADI,10,504,0.3385095055999181,0.13866409877251026,0.30048668315980626,0.029928625541455586
validation,ADI,22,504,0.36857548874613166,0.14433800290845286,0.304806348269759,0.03284856384407524
validation,AMAT,1,504,0.29723605461267616,0.11491292555482015,0.26804586325623964,0.024654025472500313
validation,AMAT,5,504,0.315806668383282,0.12853920618235654,0.2914134276338235,0.04464206762772589
validation,AMAT,10,504,0.37649647209465165,0.14320039229451562,0.30796627518295766,0.05696208101433988
validation,AMAT,22,504,0.3725311283753732,0.1387116339776073,0.30210785804306556,0.0665817870642522
validation,AMD,1,504,0.24810652127670527,0.10210704616115045,0.24753048939761482,0.019090715243614064
validation,AMD,5,504,0.3056938237131965,0.11986101725651593,0.2699334388655007,0.032741301559968815
validation,AMD,10,504,0.3444964242555634,0.13244699688523878,0.2848847563243136,0.04304172514143091
validation,AMD,22,504,0.4009919329244664,0.1493432143541248,0.3065157267883404,0.058583238114649404
validation,AVGO,1,504,0.28005890046081167,0.11712757570492227,0.2742826361462325,0.009282804978626186
validation,AVGO,5,504,0.3303907198402102,0.13575062771790664,0.2962373239723855,0.013208611736028846
validation,AVGO,10,504,0.36811342275986386,0.14639228480192618,0.3054610929256729,0.01547713176010104
validation,AVGO,22,504,0.3809713202171604,0.1534963496658494,0.31245767435308935,0.005263659185374173
validation,INTC,1,504,0.2800245569816201,0.11532195341501589,0.2709420394600882,0.013580277241652451
validation,INTC,5,504,0.330521184656163,0.1359779120379617,0.29855295571601653,0.022324492407541776
validation,INTC,10,504,0.3391865786328687,0.13969184634708656,0.3004207193223205,0.030112297105613573
validation,INTC,22,504,0.35805260018627005,0.14341367080395567,0.3019910646897063,0.03216634279932042
validation,KLAC,1,504,0.3168479921448439,0.12133569827108778,0.2749471110843546,0.017993820931208254
validation,KLAC,5,504,0.3586664309183919,0.13394078511790114,0.2921371647675358,0.03151912000110726
validation,KLAC,10,504,0.4048986804706624,0.14614994143212118,0.30488010990393366,0.03820427456335179
validation,KLAC,22,504,0.4171598945713464,0.14899712692934922,0.30369701175650066,0.0467509732431989
validation,LRCX,1,504,0.3007235822622331,0.12145537019076086,0.27353848235586736,0.018973956505530874
validation,LRCX,5,504,0.34059943027127426,0.1425916026546378,0.29894332653640493,0.03266218668879577
validation,LRCX,10,504,0.4006874640461509,0.15314824289788476,0.3034863639726428,0.042315460696159886
validation,LRCX,22,504,0.38211026061848014,0.14985162798782847,0.2999123010364062,0.04174128302734873
validation,MU,1,504,0.27642304688672265,0.11669590042119904,0.2752173575442707,0.010220478916042225
validation,MU,5,504,0.3045580887308736,0.12750918677754616,0.2887130498997234,0.016071237257384963
validation,MU,10,504,0.34012996407002066,0.13455506529110242,0.2955281236189258,0.02294162864351119
validation,MU,22,504,0.32567334634386313,0.13368219518750188,0.2951608288423988,0.015456256116091607
validation,NVDA,1,504,0.373530024245415,0.1286321712812338,0.27957001970132567,0.03521169651346427
validation,NVDA,5,504,0.4469074320571477,0.14843893649863013,0.3020718501772252,0.07081811405210944
validation,NVDA,10,504,0.5049982396638102,0.16181984739758623,0.31115109778034566,0.10237979564784391
validation,NVDA,22,504,0.5947405809564961,0.1853124536807316,0.3379113388390573,0.1453753261248862
validation,QCOM,1,504,0.3132913098432034,0.12282928705843651,0.2742661259322907,0.013430347151053096
validation,QCOM,5,504,0.3842033858451312,0.14297958093989702,0.29425441429354365,0.020570098765942384
validation,QCOM,10,504,0.4201279558942139,0.1519974324576558,0.3069698042249828,0.024579926470658132
validation,QCOM,22,504,0.4563015412751063,0.16813964456488448,0.32306099080990897,0.02352987289573853
validation,TXN,1,504,0.2713331677031089,0.11261481011745855,0.26660695837033854,0.008658062077524339
validation,TXN,5,504,0.3033984852625931,0.127597064755078,0.2887882805062556,0.014981520618877746
validation,TXN,10,504,0.34095569500542566,0.13702262142406885,0.2937248656891171,0.02550599843496657
validation,TXN,22,504,0.36885811738583874,0.1438309863991565,0.30003774940440153,0.02552616470878135
