ticker,base_split,n,acf_energy_raw,acf_energy_residual,acf_energy_reduction,lfr_raw,lfr_residual,lfr_reduction,variance_ratio,mean_residual,std_residual,skewness,kurtosis,acf_abs_lag66_sum,ljungbox_p_lag5,ljungbox_p_lag10,ljungbox_p_lag22
ADI,test,252,1.0719450066618033,1.1725998444570986,-0.09389925524972176,0.18081098441166865,0.04201469809593846,0.7676319376700729,1.0345319624543823,-0.029992533488881975,0.3405382549622856,0.08345644881414999,0.5155565924822714,2.8928073589143275,0.00024756332330538134,0.0019089747176347439,0.059644271304621646
ADI,train,43,3.195684716910272,4.111336767424795,-0.2865276557690364,0.46410222221418085,0.1544486684439915,0.6672098062646608,0.872576566673828,0.0034620557328022684,0.34874577672385126,0.48779055599073085,0.5768325157090781,0.0,0.020492408131663867,0.004057081331551144,7.400798432267385e-05
ADI,validation,504,4.6326155349187665,0.8505864672593487,0.8163917422355058,0.38891419871908117,0.0695097887504389,0.821272175253061,0.7476867113292098,0.012414004926186014,0.3344400047457893,0.1618681946439351,0.07928708395441797,2.3336704287854153,0.12558761451534933,0.2166684683435606,0.14527143350566749
AMAT,test,252,1.3256579954430758,1.1925795112630464,0.10038673974613654,0.19131428234254946,0.0475875509936893,0.7512598097185722,1.008435219337196,-0.030943423562976555,0.3497699493125687,0.0817148552730426,0.12642016493590136,3.677074996445904,0.05530720807146896,0.0403853830100779,0.23088839547586107
AMAT,train,43,3.3141992870742114,2.537886704334777,0.23423835306703356,0.41187123964530875,0.11954931879186173,0.7097410372850413,0.8682777191626093,0.04239434489769551,0.3476236087082655,-0.530576577413858,0.6094020488951282,0.0,0.24791216179816253,0.35062320586406065,0.11522534558738524
AMAT,validation,504,4.028432350925239,0.863852995292205,0.7855610023850634,0.3697053398353319,0.07094584162315444,0.8081016583245401,0.795720343761876,0.023530585362249765,0.33749087217175633,0.2919304487432309,0.4359827728561738,2.452911424035928,0.23770733834317065,0.12585315219070844,0.26989819519030356
AMD,test,252,1.7865024764312696,1.1878310149689186,0.3351081061241664,0.27493608026663796,0.0876020983014269,0.681372855042706,0.8870072879344502,-0.014048705748641732,0.3184949269792138,0.43943797189773315,0.42331856416653313,3.357548989972251,0.3767135700281604,0.6011713791836082,0.22927519045484518
AMD,train,43,2.2611929498690726,2.2300585720116883,0.013769005365142917,0.18674091077495192,0.0704264120221639,0.6228656499021785,1.053767253387469,-0.034807037859020534,0.43371973819026294,0.07380562206136468,-0.3601462108003357,0.0,0.6472716125535186,0.876477254772921,0.5764373558996085
AMD,validation,504,7.37951989976336,0.931737660761043,0.8737400707069312,0.5070572026611242,0.10323994510417749,0.7963938889692272,0.6398670085916909,0.016820402639592693,0.3180838121408456,0.19829866082072325,0.30485774002316823,2.4108766185491346,0.5172319845150233,0.0766236774901847,0.08526128743879624
AVGO,test,252,2.0369978848527985,1.2408159122065308,0.39086048079250324,0.3511678018139832,0.11818884685510436,0.6634405368480407,0.8714891702682649,-0.019263258742695195,0.36270502061531945,0.524271505784829,0.9883668870320457,2.9622849752191276,0.48475420751014064,0.4159582220021797,0.12883640251581402
AVGO,train,43,2.4543157014892154,2.9652114301013293,-0.2081621888744416,0.3009667499929446,0.09597796845024835,0.6811010902294707,1.1596706652042301,-0.008366100494185244,0.3893353882113055,0.26397758872813126,-0.17765521997262157,0.0,0.0395257266564648,0.10723875303846293,0.05592628041312816
AVGO,validation,504,5.546068089028489,0.8207406358425338,0.8520139632858067,0.424997196450278,0.06304476520172414,0.851658397447919,0.7357367267044004,0.009770843863677992,0.3421557983025911,0.13372297133863098,0.1133542667800107,2.405236570044732,0.16583720613325806,0.0909278065192606,0.21836561605051608
INTC,test,252,1.7690881237349987,1.157160548325471,0.34589999627505597,0.25488415512279117,0.08755623909984207,0.6564861434508626,0.9009975276588431,0.028251400064778623,0.34857900291501187,-0.05234874045944305,0.13017983645996756,3.1534610556155416,0.4731595587326638,0.2532981810665289,0.45268608459092174
INTC,train,43,3.0449342654562876,3.0272882596168738,0.005795200914711307,0.24793346616711615,0.06891553457162465,0.7220402084610267,1.0633028943580918,0.06295560122277873,0.483743691637151,0.7924280640751736,1.4038825012781366,0.0,0.38400734060301284,0.07597936132294471,0.06414593599954223
INTC,validation,504,5.211352259135088,0.7836312212145722,0.8496299650746544,0.40329104866812104,0.06792542720441454,0.8315721922701445,0.7527815222612761,0.011741129521168953,0.3413274799275885,0.16603710391612658,0.2671115274353557,2.061556264810655,0.054336837753631455,0.13460190135698363,0.20383270827624073
KLAC,test,252,1.6583609457839878,1.0911276692231253,0.34204452173309097,0.2609666686393274,0.06798098801586938,0.7395031772829083,0.9458953120814467,-0.026513242782174595,0.35469294325925527,0.11512711085389699,0.015651370775791484,2.810574705192089,0.19058194433357428,0.24352140163810826,0.33124572334068797
KLAC,train,43,3.6829188500656223,2.632237521801016,0.2852849522455809,0.5000686051478451,0.14263860595329,0.714761925694508,0.8271758629388724,0.05226852848603234,0.3389564780432334,0.8692386420354852,0.5857466491030894,0.0,0.15861303854209197,0.5029686786877258,0.11418897959381792
KLAC,validation,504,5.021681061435151,0.9210440253512735,0.8165865147381813,0.40399694523625057,0.0740847800971036,0.8166204448560949,0.7586736466320045,0.016998862125802885,0.3473760600150382,0.3085255489593689,0.5526608795035588,2.2232638999101644,0.020609187457121453,0.023013916994240803,0.08823016289829465
LRCX,test,252,2.3770048730486577,1.1884927733116963,0.5000040652895761,0.2577864907902214,0.051123253700105294,0.801683736245475,0.9297950554966375,-0.031998403355067345,0.33113621663605103,-0.015636076884086532,0.12705326232075498,3.1606128120717667,0.09440409829806835,0.22127599241482135,0.35097848133529064
LRCX,train,43,3.8875856032460954,1.8508277361646874,0.5239133166305615,0.6105906905300272,0.2220882343340006,0.6362731404554305,0.6645561240551054,0.0305068185382181,0.323061161886789,0.36773237536231107,-0.3887242083545468,0.0,0.7217419092183158,0.9549670449725969,0.6321191861214978
LRCX,validation,504,4.858181954151446,1.004988863252439,0.7931347831891223,0.4123398051655087,0.06713679754964046,0.8371808961724428,0.7469344775304003,0.01689202074229171,0.34833139448413125,0.1623134508320725,0.31983287414583295,2.467066655532014,0.20644120916164438,0.1044508239059294,0.1605107681725035
MU,test,252,1.9952139325623852,1.3399780342862446,0.32840383057836564,0.26458708850824847,0.07814670502480478,0.7046465665989095,0.913117441353535,-0.04040330969165542,0.34602607906813587,-0.128674261786763,-0.13061781682723694,2.619583715020762,0.16292764507398672,0.03332353294569732,0.06162702919229748
MU,train,43,2.207186159868445,1.869012307281571,0.15321492076041143,0.3981633502586911,0.17107965015736873,0.5703279821063723,0.8813133135185649,0.004744858218008265,0.36187966122733395,0.4874769773392029,-0.005987046475057767,0.0,0.8558294535345757,0.8249832289485346,0.8089086572792683
MU,validation,504,4.891723799655775,0.7891158644505804,0.8386834791232596,0.37283055077128135,0.06473105582143204,0.8263794217310032,0.7923734696903962,0.008946790846221858,0.3427503788277392,0.15271318827845445,-0.20867105186003299,2.3239368858256184,0.04255169012544608,0.08865708490419226,0.4342497359982843
NVDA,test,252,3.2590264282319787,0.8880281077812704,0.7275173652817682,0.3752780703678835,0.08598025977736039,0.770889197727847,0.7700398744301405,-0.01991609951423108,0.3147166833399968,0.4041958872973924,0.31234669684574934,2.8594453207564645,0.7107679781388091,0.7020508777592375,0.8898432909162408
NVDA,train,43,2.3824353722032554,2.957988590370388,-0.24158188082710685,0.280316558535834,0.04235841735904796,0.8488907769839005,1.1287157292105767,-0.0023653197924848207,0.3697768170214526,0.4000040280667116,0.37956370877300083,0.0,0.055982195243377345,0.18683026052767363,0.044977979362701585
NVDA,validation,504,7.425916429689582,1.0310587725455342,0.8611540027001764,0.46677975672971733,0.05533447055714937,0.8814548622572946,0.6727340072913436,0.03213012092392732,0.35774550435357927,0.43123731406199334,0.924702468295513,2.5011773015494607,0.0006850888182087715,0.004453941234112394,0.01827465942323889
QCOM,test,252,2.787650350935669,1.0888262974845202,0.6094107364940272,0.3276708469840609,0.08085278506858659,0.7532499890895914,0.8344381214882168,-0.044306567328899926,0.3237120773393957,-0.045144228756584685,0.7861432712000198,2.8861170833104253,0.13597668771081753,0.2787817802563085,0.47873604050796414
QCOM,train,43,3.0336399710204995,2.9271643665218674,0.03509829957303057,0.406251095849598,0.18480368745464362,0.5450998425796084,0.91024110732992,0.021648633450013843,0.3909542534400212,0.4559652514188042,0.12782326683971812,0.0,0.4666352948067376,0.09045741567816012,0.019064132045377026
QCOM,validation,504,7.998747911789218,0.8078382678641793,0.899004409593479,0.5019022717463383,0.08968860626314322,0.8213026493167713,0.6307008711938982,0.012383864692921995,0.3504284016253311,0.29493759018946547,0.49109575300689023,2.2365423046839386,0.05357259212074931,0.027886992083958218,0.2594195520120738
TXN,test,252,1.337012370351183,1.1316429350955892,0.1536032424311058,0.18742671718623616,0.043601347471630005,0.7673685580905043,0.9795882693125704,-0.022232560066913667,0.3230507791660461,-0.06854315213707564,-0.21132376449754187,3.3084225153178974,0.14441142938438742,0.24888309036677675,0.3826087466238961
TXN,train,43,2.629108405601597,2.566654555331373,0.023754764215174973,0.4863229854728692,0.18708594835023787,0.615305149173768,0.8741427258885436,0.02199940193092103,0.3914017943025233,0.5028417149254246,0.5310203011463153,0.0,0.2652522296150459,0.3647463324100433,0.2539962958498917
TXN,validation,504,5.167565222806763,0.5553302167866796,0.8925354218393504,0.42493012968086036,0.0721429030162884,0.8302240816147801,0.7462011030397785,0.008758771686847978,0.33586210529360155,0.20225548590194506,0.08202565748168444,1.714041520374949,0.3416047503751687,0.6341638825630911,0.9832430810141469
