ticker,company_name,sector_code,sector_name,industry_code,industry_name,classification_system,source,effective_date,retrieval_date,mapping_confidence,mapping_note
AAPL,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ABBV,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ABT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ACN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ADBE,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ADI,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMAT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMD,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMGN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMZN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ANET,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
APH,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AVGO,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AXP,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BA,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BABA,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BAC,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BKNG,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BLK,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BRK,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BSX,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
BX,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
C,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
CAT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
CB,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
COF,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
COP,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
COST,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
CRM,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
CSCO,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
CVX,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
DE,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
DHR,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
DIS,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ETN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
GE,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
GILD,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
GOOGL,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
GS,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
HD,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
HON,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
IBKR,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
IBM,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
INTC,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
INTU,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ISRG,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
JNJ,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
JPM,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
KKR,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
KLAC,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
KO,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
LIN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
LLY,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
LMT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
LOW,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
LRCX,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
MA,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
MCD,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
MDT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
META,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
MRK,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
MS,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
MSFT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
MU,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
NEE,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
NEM,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
NFLX,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
NOW,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
NVDA,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ORCL,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PANW,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PDD,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PEP,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PFE,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PG,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PGR,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PLD,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
PM,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
QCOM,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
RTX,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
SCCO,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
SCHW,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
SHOP,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
SPGI,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
SYK,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
T,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
TJX,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
TMO,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
TMUS,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
TSLA,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
TXN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
UNH,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
UNP,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
V,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
VZ,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
WELL,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
WFC,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
WMT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
XOM,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
